Class,Population,Odor,Stalk-surface-above-ring,Gill-spacing
e,s,a,s,c
e,s,n,s,w
e,a,n,s,w
e,s,n,s,w
e,s,n,f,w
e,n,a,s,c
e,s,n,f,w
e,v,n,s,c
e,s,a,s,c
e,s,n,f,w
e,n,a,s,c
p,v,p,s,c
e,y,n,s,c
e,s,n,s,w
e,n,a,s,c
e,s,n,f,w
e,v,n,s,c
e,a,n,f,w
e,v,n,s,c
e,v,n,s,c
e,y,n,s,c
e,s,l,s,c
e,v,n,s,c
e,a,n,s,w
e,s,a,s,c
e,y,l,s,c
e,y,l,s,c
e,a,n,f,w
e,n,a,s,c
e,s,a,s,c
e,a,n,f,w
e,a,n,s,w
p,v,p,s,c
e,s,l,s,c
e,s,n,s,w
e,s,n,f,w
e,s,l,s,c
e,v,n,s,c
e,s,l,s,c
e,n,a,s,c
p,s,p,s,c
e,s,n,f,w
e,n,a,s,c
e,n,l,s,c
e,s,l,s,c
e,n,l,s,c
e,n,a,s,c
e,n,a,s,c
e,s,n,s,w
p,s,p,s,c
e,a,n,s,w
e,a,n,s,w
p,s,p,s,c
e,a,n,f,w
e,s,n,s,w
e,a,n,s,w
e,a,n,s,w
e,y,a,s,c
e,a,n,f,w
e,a,n,s,w
p,v,p,s,c
e,a,n,f,w
e,s,n,f,w
e,a,n,f,w
e,s,n,f,w
e,s,a,s,c
e,s,n,f,w
e,a,n,f,w
e,s,n,f,w
e,a,n,f,w
e,s,n,s,w
e,v,n,s,c
e,a,n,s,w
p,v,p,s,c
e,y,n,s,c
e,s,n,s,w
p,s,p,s,c
e,a,n,f,w
e,a,n,f,w
e,a,n,s,w
e,a,n,s,w
e,a,n,f,w
e,s,n,s,w
e,s,n,s,w
e,s,n,s,w
p,v,p,s,c
e,a,n,f,w
p,s,p,s,c
p,s,p,s,c
e,s,n,s,w
e,a,n,s,w
e,a,n,s,w
e,a,n,s,w
e,a,n,f,w
e,a,n,f,w
e,y,n,s,c
e,v,n,s,c
e,a,n,s,w
p,v,p,s,c
p,s,p,s,c
e,a,n,f,w
p,s,p,s,c
e,s,n,s,w
e,a,n,f,w
p,v,p,s,c
p,v,p,s,c
p,v,p,s,c
p,s,p,s,c
e,a,n,f,w
e,v,n,s,c
e,a,n,f,w
e,a,n,f,w
p,v,p,s,c
e,s,n,f,w
e,y,n,s,c
e,s,n,f,w
e,s,n,f,w
p,s,p,s,c
e,a,n,f,w
e,s,n,s,w
p,s,p,s,c
e,a,n,s,w
e,s,n,s,w
e,s,n,s,w
e,s,n,f,w
e,n,a,s,c
e,a,n,s,w
e,s,n,s,w
e,s,n,f,w
e,a,n,f,w
e,a,n,f,w
p,s,p,s,c
e,s,n,f,w
e,y,n,s,c
e,a,n,s,w
e,v,n,s,c
e,a,n,f,w
e,a,n,s,w
p,v,p,s,c
p,v,p,s,c
e,a,n,f,w
e,v,n,s,c
e,s,n,s,w
e,s,a,s,c
e,a,n,s,w
e,a,n,s,w
e,a,n,f,w
e,s,n,s,w
e,y,n,s,c
e,a,n,s,w
e,s,n,s,w
e,s,n,f,w
e,s,n,s,w
e,a,n,s,w
e,s,n,s,w
e,s,n,f,w
e,a,n,s,w
p,s,p,s,c
e,a,n,f,w
e,n,l,s,c
e,s,n,f,w
e,s,n,s,w
e,y,n,s,c
e,s,l,s,c
e,s,n,s,w
e,y,n,s,c
p,s,p,s,c
e,s,n,f,w
p,s,p,s,c
e,a,n,f,w
e,a,n,s,w
e,n,l,s,c
e,a,n,f,w
e,a,n,s,w
e,s,n,f,w
e,s,n,s,w
e,a,n,s,w
p,v,p,s,c
e,a,n,s,w
e,a,n,s,w
e,y,n,s,c
e,a,n,s,w
e,y,n,s,c
e,n,a,s,c
e,s,n,f,w
e,a,n,s,w
e,a,n,f,w
p,s,p,s,c
e,y,n,s,c
e,s,n,s,w
e,a,n,s,w
p,v,p,s,c
e,s,n,f,w
e,y,n,s,c
e,v,n,s,c
e,v,n,s,c
e,s,n,f,w
e,s,n,f,w
e,a,n,s,w
e,a,n,f,w
e,a,n,f,w
e,s,n,f,w
e,a,n,s,w
e,a,n,f,w
e,s,n,f,w
e,a,n,f,w
p,v,p,s,c
e,a,n,s,w
e,s,n,s,w
e,a,n,s,w
e,s,n,f,w
e,a,n,s,w
e,a,n,s,w
e,v,n,s,c
e,a,n,f,w
e,s,n,f,w
e,s,n,s,w
e,s,n,s,w
e,s,l,s,c
p,s,p,s,c
p,v,p,s,c
e,s,n,s,w
e,s,n,s,w
p,s,p,s,c
e,s,n,s,w
p,v,p,s,c
e,a,n,s,w
p,v,p,s,c
e,a,n,f,w
e,a,n,f,w
e,a,n,s,w
e,s,n,s,w
e,v,n,s,c
e,v,n,s,c
e,s,n,s,w
e,y,n,s,c
e,s,n,s,w
e,a,n,f,w
e,s,n,f,w
e,s,n,s,w
e,y,n,s,c
e,s,n,s,w
e,s,n,f,w
e,s,n,s,w
p,s,p,s,c
e,s,n,s,w
e,y,a,s,c
e,y,n,s,c
e,a,n,s,w
e,a,n,f,w
p,s,p,s,c
e,a,n,f,w
e,a,n,s,w
e,a,n,s,w
e,s,n,s,w
e,s,n,f,w
e,s,n,s,w
e,a,n,f,w
e,a,n,s,w
e,a,n,f,w
e,a,n,s,w
e,s,l,s,c
e,a,n,f,w
e,s,n,f,w
e,a,n,f,w
p,s,p,s,c
e,s,n,s,w
e,v,n,s,c
e,s,n,s,w
e,a,n,s,w
e,a,n,s,w
e,s,n,s,w
e,s,n,f,w
e,s,l,s,c
p,v,p,s,c
e,s,n,s,w
e,v,n,s,c
p,s,p,s,c
p,s,p,s,c
p,s,p,s,c
e,y,n,s,c
e,n,l,s,c
p,s,p,s,c
e,a,n,s,w
e,s,n,f,w
e,y,n,s,c
e,a,n,f,w
e,s,n,s,w
e,s,n,f,w
p,s,p,s,c
p,v,p,s,c
e,s,n,s,w
e,s,n,f,w
e,v,n,s,c
e,s,n,f,w
e,a,n,f,w
p,v,p,s,c
e,a,n,f,w
p,v,p,s,c
e,a,n,f,w
e,s,n,f,w
e,a,n,s,w
e,y,n,s,c
e,s,n,f,w
p,s,p,s,c
e,v,n,s,c
e,s,n,f,w
e,s,n,f,w
e,v,a,s,w
e,s,n,f,w
e,v,n,s,c
e,y,n,s,c
e,v,a,s,w
e,a,n,s,w
e,s,n,s,w
e,y,n,s,c
e,a,n,f,w
p,v,p,s,c
e,s,n,s,w
e,a,n,s,w
e,s,n,s,w
e,a,n,f,w
e,a,n,f,w
p,s,p,s,c
e,s,n,f,w
e,a,n,f,w
e,s,n,f,w
e,s,n,s,w
e,a,n,s,w
e,y,l,s,c
p,v,p,s,c
e,a,n,s,w
e,s,n,f,w
e,s,n,s,w
p,s,p,s,c
e,s,n,f,w
p,s,p,s,c
e,s,n,f,w
e,s,n,f,w
e,a,n,s,w
e,s,n,s,w
e,s,n,s,w
e,s,n,s,w
e,a,n,s,w
e,s,n,s,w
e,a,n,s,w
e,n,a,s,c
e,s,n,s,w
e,a,n,s,w
e,a,n,f,w
e,y,n,s,c
p,s,p,s,c
e,y,n,s,c
e,a,n,f,w
e,y,n,s,c
e,a,n,f,w
e,s,n,s,w
e,a,n,s,w
e,s,a,s,c
e,v,a,s,w
e,a,n,f,w
e,a,n,s,w
e,s,n,s,w
e,s,a,s,c
e,s,n,f,w
e,s,l,s,c
e,s,n,s,w
e,a,n,s,w
e,s,n,f,w
e,a,n,s,w
e,s,n,f,w
e,y,n,s,c
e,s,n,f,w
e,n,a,s,c
e,a,n,f,w
p,s,p,s,c
e,s,n,s,w
p,s,p,s,c
e,s,n,s,w
e,s,n,f,w
p,s,p,s,c
e,a,n,f,w
p,s,p,s,c
e,s,n,f,w
e,s,n,s,w
p,v,p,s,c
e,a,n,s,w
e,a,n,s,w
e,s,n,f,w
e,a,n,f,w
e,y,n,s,c
p,s,p,s,c
e,s,n,f,w
e,y,a,s,c
e,a,n,s,w
e,a,n,f,w
e,n,l,s,c
e,a,n,s,w
e,a,n,f,w
e,a,n,s,w
p,s,p,s,c
e,a,n,s,w
e,n,a,s,c
e,a,n,s,w
e,s,n,s,w
e,a,n,f,w
e,s,n,s,w
e,a,n,f,w
e,v,n,s,c
e,n,l,s,c
e,v,n,s,c
p,s,p,s,c
e,a,n,s,w
p,v,p,s,c
e,a,n,s,w
e,a,n,s,w
e,a,n,s,w
e,a,n,f,w
e,s,n,f,w
e,s,l,s,c
e,a,n,s,w
e,s,n,f,w
p,v,p,s,c
e,a,n,s,w
p,s,p,s,c
e,a,n,s,w
e,v,n,s,c
e,s,n,s,w
p,v,p,s,c
e,s,n,s,w
p,v,p,s,c
e,v,n,s,c
e,s,n,f,w
e,s,a,s,c
e,s,n,f,w
e,a,n,s,w
e,s,n,f,w
e,s,n,f,w
e,a,n,s,w
e,s,n,f,w
e,a,n,f,w
e,v,n,s,c
e,a,n,f,w
e,s,n,f,w
e,s,l,s,c
e,y,n,s,c
e,a,n,f,w
e,s,n,s,w
e,a,n,f,w
e,s,n,s,w
e,a,n,s,w
e,a,n,s,w
e,s,n,s,w
e,y,n,s,c
e,s,n,f,w
e,a,n,f,w
e,a,n,f,w
e,y,n,s,c
p,s,p,s,c
p,v,p,s,c
e,v,n,s,c
e,a,n,f,w
e,a,n,s,w
e,s,n,s,w
e,s,n,f,w
e,s,n,s,w
e,a,n,f,w
e,s,n,s,w
e,a,n,s,w
e,v,n,s,c
p,v,p,s,c
e,s,n,f,w
e,v,n,s,c
p,s,p,s,c
p,v,p,s,c
p,s,p,s,c
e,a,n,s,w
e,s,n,f,w
e,a,n,f,w
e,a,n,s,w
e,a,n,s,w
p,v,p,s,c
p,v,p,s,c
e,a,n,f,w
e,a,n,f,w
e,s,n,f,w
e,v,n,s,c
e,v,n,s,c
e,a,n,f,w
e,s,n,f,w
e,a,n,f,w
e,n,l,s,c
e,a,n,f,w
e,s,n,s,w
e,s,n,s,w
e,a,n,f,w
e,s,n,s,w
e,s,n,f,w
e,s,n,f,w
e,s,n,s,w
e,s,n,s,w
e,a,n,f,w
e,s,n,s,w
e,s,n,s,w
e,a,n,s,w
e,s,n,f,w
e,a,n,s,w
e,n,a,s,c
e,n,l,s,c
e,a,n,s,w
p,s,p,s,c
e,s,n,s,w
p,s,p,s,c
e,v,n,s,c
p,v,p,s,c
e,s,l,s,c
e,n,l,s,c
e,y,l,s,c
e,s,n,s,w
e,s,n,f,w
e,a,n,s,w
e,a,n,f,w
e,s,n,f,w
e,a,n,s,w
e,s,n,f,w
e,n,l,s,c
e,s,n,s,w
e,s,l,s,c
p,v,p,s,c
e,s,n,f,w
e,s,n,f,w
e,s,n,s,w
e,s,n,f,w
e,y,n,s,c
e,y,n,s,c
e,y,a,s,c
e,y,n,s,c
e,a,n,f,w
e,s,n,f,w
e,a,n,s,w
e,a,n,f,w
e,s,n,f,w
e,a,n,f,w
e,a,n,s,w
e,a,n,s,w
e,y,n,s,c
e,s,n,s,w
e,s,n,f,w
p,s,p,s,c
e,y,n,s,c
e,s,n,f,w
e,s,n,s,w
p,v,p,s,c
e,s,n,s,w
e,v,n,s,c
e,a,n,f,w
e,s,n,f,w
e,v,n,s,c
e,a,n,s,w
e,a,n,s,w
e,y,n,s,c
e,n,l,s,c
e,n,l,s,c
e,s,n,f,w
e,a,n,s,w
e,s,n,f,w
e,a,n,f,w
e,a,n,s,w
e,s,n,s,w
e,n,a,s,c
p,v,p,s,c
e,a,n,s,w
e,s,n,f,w
e,s,a,s,c
e,a,n,f,w
e,a,n,f,w
p,v,p,s,c
e,a,n,f,w
e,s,n,f,w
p,v,p,s,c
e,a,n,s,w
e,a,n,f,w
e,v,n,s,c
e,s,n,f,w
p,v,p,s,c
e,a,n,s,w
e,s,n,s,w
e,s,n,f,w
e,a,n,f,w
e,y,l,s,c
p,s,p,s,c
e,a,n,s,w
e,y,n,s,c
p,s,p,s,c
e,s,n,s,w
e,s,n,f,w
e,y,a,s,c
e,s,n,f,w
e,a,n,f,w
p,s,p,s,c
e,s,n,f,w
e,s,n,s,w
e,s,n,s,w
e,v,n,s,c
e,s,n,f,w
e,a,n,f,w
e,s,n,f,w
e,s,n,s,w
e,y,n,s,c
e,s,n,f,w
p,s,p,s,c
e,a,n,s,w
e,s,n,s,w
e,v,n,s,c
e,y,a,s,c
e,a,n,f,w
e,a,n,f,w
e,a,n,s,w
e,s,a,s,c
e,y,n,s,c
e,a,n,s,w
e,a,n,f,w
p,s,p,s,c
p,v,p,s,c
e,a,n,s,w
e,v,n,s,c
e,s,n,f,w
e,a,n,f,w
p,s,p,s,c
e,s,a,s,c
e,a,n,f,w
p,s,p,s,c
e,a,n,f,w
e,s,n,s,w
e,s,n,f,w
p,v,p,s,c
e,a,n,f,w
e,a,n,f,w
e,s,n,s,w
e,a,n,f,w
p,v,p,s,c
e,s,n,s,w
e,a,n,f,w
p,v,p,s,c
e,a,n,s,w
e,v,n,s,c
e,a,n,s,w
e,v,n,s,c
e,v,n,s,c
e,y,n,s,c
e,v,n,s,c
e,s,n,f,w
e,y,n,s,c
e,y,n,s,c
e,s,n,f,w
p,s,p,s,c
e,v,n,s,c
p,v,p,s,c
e,s,a,s,c
e,a,n,s,w
e,s,a,s,c
p,y,f,k,c
e,a,n,f,w
e,s,n,f,w
e,v,n,s,c
e,s,n,s,w
e,s,n,s,w
p,v,p,s,c
e,y,n,s,c
e,n,l,s,c
e,s,n,f,w
e,v,n,s,c
e,s,n,s,w
e,a,n,f,w
e,v,n,s,c
e,y,n,s,c
e,v,n,s,c
e,a,n,f,w
e,v,n,s,c
e,v,n,s,c
e,v,n,s,c
e,y,n,s,c
e,s,n,f,w
e,y,n,s,c
e,s,n,s,w
e,a,n,f,w
e,a,n,s,w
e,v,n,s,c
p,s,p,s,c
e,v,n,s,c
e,s,n,s,w
e,a,n,f,w
e,v,n,s,c
e,v,n,s,c
e,v,n,s,c
e,v,n,s,c
e,a,n,f,w
e,v,n,s,c
e,v,n,s,c
e,y,n,s,c
e,y,n,s,c
e,v,a,s,w
e,v,n,s,c
p,v,p,s,c
e,s,n,f,w
e,y,n,s,c
e,v,n,s,c
e,a,n,f,w
e,y,n,s,c
e,s,n,s,w
e,y,n,s,c
e,v,n,s,c
e,a,n,f,w
e,a,n,s,w
e,s,n,s,w
e,s,n,s,w
e,y,n,s,c
e,a,n,s,w
e,a,n,s,w
e,v,n,s,c
e,y,n,s,c
e,v,n,s,c
e,y,n,s,c
e,s,n,s,w
e,a,n,s,w
e,a,n,s,w
e,a,n,s,w
e,v,n,s,c
e,y,n,s,c
e,v,n,s,c
e,v,l,s,w
e,a,n,f,w
p,s,p,s,c
e,v,n,s,c
e,v,n,s,c
e,a,n,f,w
e,a,n,f,w
e,a,n,s,w
e,a,n,s,w
e,a,n,s,w
e,v,n,s,c
e,y,n,s,c
e,s,n,f,w
e,a,n,f,w
e,s,n,f,w
e,y,n,s,c
e,a,n,f,w
e,a,n,s,w
e,s,n,f,w
e,s,n,s,w
e,a,n,s,w
e,a,n,f,w
e,v,n,s,c
e,a,n,s,w
e,s,n,f,w
e,v,n,s,c
e,v,n,s,c
e,v,n,s,c
e,s,n,s,w
e,a,n,f,w
e,y,l,s,c
p,v,p,s,c
e,a,n,f,w
e,s,n,s,w
e,v,n,s,c
e,y,n,s,c
e,a,n,s,w
e,s,n,f,w
e,s,n,f,w
e,v,n,s,c
e,v,n,s,c
e,s,n,s,w
e,a,n,s,w
e,s,n,s,w
e,s,n,s,w
p,s,p,s,c
e,s,a,s,c
e,v,n,s,c
e,a,n,f,w
e,s,n,f,w
e,s,n,s,w
e,v,l,s,w
e,a,n,s,w
e,a,n,f,w
e,s,n,f,w
e,v,n,s,c
e,v,n,s,c
e,v,n,s,c
e,s,n,s,w
e,s,n,f,w
p,v,p,s,c
e,s,n,f,w
e,y,n,s,c
e,v,n,s,c
e,a,n,s,w
e,v,n,s,c
e,v,n,s,c
e,y,n,s,c
e,v,n,s,c
e,v,n,s,c
p,v,p,s,c
e,s,n,s,w
e,v,n,s,c
e,y,n,s,c
p,s,p,s,c
e,y,n,s,c
e,s,n,s,w
e,v,n,s,c
e,s,n,f,w
e,a,n,f,w
e,s,n,s,w
e,v,n,s,c
e,s,n,f,w
e,v,n,s,c
e,s,n,s,w
e,a,n,f,w
e,s,n,s,w
p,v,p,s,c
e,y,n,s,c
e,s,n,f,w
p,s,p,s,c
e,v,n,s,c
e,y,n,s,c
e,a,n,f,w
e,v,n,s,c
e,s,n,s,w
e,s,n,f,w
e,n,l,s,c
e,s,n,f,w
e,v,n,s,c
e,y,n,s,c
e,a,n,f,w
p,s,p,s,c
e,v,n,s,c
p,s,p,s,c
p,v,p,s,c
e,v,n,s,c
e,a,n,s,w
e,y,n,s,c
e,a,n,s,w
e,y,n,s,c
e,s,n,f,w
e,a,n,s,w
e,a,n,f,w
e,s,n,s,w
e,v,n,s,c
e,v,n,s,c
e,a,n,f,w
e,y,n,s,c
p,v,p,s,c
e,s,l,s,c
p,s,p,s,c
e,s,n,f,w
e,a,n,f,w
p,v,p,s,c
e,a,n,f,w
e,s,n,s,w
e,v,n,s,c
e,a,n,s,w
e,s,n,s,w
e,a,n,f,w
e,s,n,f,w
e,v,a,s,w
e,v,a,s,w
e,a,n,s,w
e,y,n,s,c
e,y,n,s,c
e,y,n,s,c
e,s,n,s,w
e,y,n,s,c
e,v,n,s,c
e,a,n,f,w
e,v,n,s,c
e,a,n,f,w
e,s,l,s,c
e,v,n,s,c
e,s,n,s,w
e,y,n,s,c
e,y,n,s,c
e,v,n,s,c
e,a,n,s,w
e,s,n,f,w
e,a,n,f,w
e,a,n,s,w
e,y,n,s,c
e,y,n,s,c
e,y,n,s,c
e,s,n,f,w
e,s,n,s,w
e,s,n,s,w
e,s,a,s,c
e,v,n,s,c
e,s,n,f,w
e,v,n,s,c
e,y,n,s,c
e,a,n,f,w
e,s,a,s,c
e,s,n,s,w
e,a,n,s,w
e,v,n,s,c
e,s,n,f,w
e,v,n,s,c
e,y,n,s,c
e,a,n,s,w
e,n,a,s,c
e,s,n,f,w
p,v,p,s,c
e,s,n,f,w
e,v,n,s,c
e,s,n,s,w
e,v,n,s,c
e,v,n,s,c
p,v,p,s,c
e,a,n,s,w
e,y,n,s,c
e,y,n,s,c
e,v,n,s,c
e,y,n,s,c
e,y,n,s,c
p,v,p,s,c
e,n,l,s,c
e,v,n,s,c
e,y,n,s,c
e,s,n,f,w
e,y,n,s,c
e,s,n,f,w
e,s,n,f,w
e,v,n,s,c
e,v,n,s,c
e,s,n,s,w
e,s,n,s,w
e,s,n,f,w
e,y,n,s,c
e,y,n,s,c
p,s,p,s,c
e,v,n,s,c
e,a,n,s,w
e,s,a,s,c
e,s,n,f,w
e,s,n,f,w
e,y,n,s,c
e,v,n,s,c
e,s,n,f,w
p,s,p,s,c
e,a,n,s,w
e,y,n,s,c
e,v,n,s,c
e,v,n,s,c
e,y,n,s,c
e,y,n,s,c
e,y,n,s,c
e,v,n,s,c
e,y,n,s,c
e,v,n,s,c
e,v,n,s,c
e,v,n,s,c
e,v,n,s,c
p,v,p,s,c
e,v,n,s,c
e,v,n,s,c
e,y,n,s,c
e,y,n,s,c
e,v,n,s,c
e,v,n,s,c
e,v,n,s,c
e,y,n,s,c
e,y,n,s,c
e,v,n,s,c
e,v,n,s,c
e,v,n,s,c
e,v,n,s,c
e,y,n,s,c
e,v,n,s,c
p,y,f,k,c
p,s,p,s,c
e,v,n,s,c
e,s,n,s,w
e,v,n,s,c
e,y,n,s,c
e,v,n,s,c
e,y,n,s,c
e,v,n,s,c
e,v,n,s,c
e,y,n,s,c
e,y,n,s,c
e,v,n,s,c
e,v,n,s,c
e,y,n,s,c
e,y,n,s,c
e,v,n,s,c
e,v,n,s,c
e,v,n,s,c
p,v,p,s,c
e,y,n,s,c
p,s,p,s,c
e,y,n,s,c
e,y,n,s,c
e,v,n,s,c
e,v,n,s,c
e,y,n,s,c
e,v,n,s,c
e,y,n,s,c
e,v,n,s,c
e,y,n,s,c
e,v,n,s,c
e,y,n,s,c
e,y,n,s,c
e,v,n,s,c
e,y,n,s,c
e,y,n,s,c
e,y,n,s,c
e,y,n,s,c
e,y,n,s,c
e,y,n,s,c
e,v,n,s,c
e,v,n,s,c
e,v,n,s,c
e,v,n,s,c
e,v,n,s,c
e,y,n,s,c
e,v,n,s,c
e,y,n,s,c
e,v,n,s,c
p,y,f,k,c
e,y,n,s,c
e,y,n,s,c
e,v,n,s,c
e,y,n,s,c
e,v,n,s,c
e,v,n,s,c
e,y,n,s,c
e,y,n,s,c
e,y,n,s,c
e,v,n,s,c
e,v,n,s,c
e,v,n,s,c
e,y,n,s,c
e,s,n,s,w
e,y,n,s,c
e,y,n,s,c
e,v,n,s,c
e,v,n,s,c
e,y,n,s,c
e,v,n,s,c
e,y,n,s,c
e,a,n,s,w
e,y,n,s,c
e,v,n,s,c
e,y,n,s,c
e,y,n,s,c
e,v,n,s,c
e,v,n,s,c
e,y,n,s,c
e,y,n,s,c
e,v,n,s,c
p,s,c,s,w
e,y,n,s,c
e,v,n,s,c
e,y,n,s,c
e,v,n,s,c
e,v,n,s,c
e,y,n,s,c
e,v,n,s,c
e,v,n,s,c
e,v,n,s,c
e,v,n,s,c
e,v,n,s,c
e,v,n,s,c
e,v,n,s,c
e,y,n,s,c
e,v,n,s,c
e,y,n,s,c
e,s,n,f,w
e,y,n,s,c
e,v,n,s,c
e,v,n,s,c
e,v,n,s,c
e,y,n,s,c
e,v,n,s,c
e,v,n,s,c
e,y,n,s,c
e,y,n,s,c
e,s,n,s,w
p,y,f,k,c
e,y,n,s,c
e,y,n,s,c
p,v,p,s,c
e,y,n,s,c
e,y,n,s,c
e,v,n,s,c
e,v,n,s,c
e,v,n,s,c
e,a,n,f,w
e,y,n,s,c
e,y,n,s,c
e,y,n,s,c
e,y,n,s,c
e,s,n,f,w
e,v,n,s,c
e,v,n,s,c
e,y,n,s,c
e,y,n,s,c
e,v,n,s,c
e,v,n,s,c
e,v,n,s,c
e,a,n,f,w
e,y,n,s,c
e,y,n,s,c
e,y,n,s,c
e,y,n,s,c
e,y,n,s,c
e,a,n,s,w
e,v,n,s,c
e,y,n,s,c
e,v,n,s,c
e,v,n,s,c
e,s,n,s,w
e,v,n,s,c
e,y,n,s,c
e,v,n,s,c
e,y,n,s,c
e,y,n,s,c
e,y,n,s,c
e,v,n,s,c
e,v,n,s,c
e,y,n,s,c
e,y,n,s,c
e,v,n,s,c
e,y,n,s,c
e,y,n,s,c
p,v,c,s,w
e,y,n,s,c
e,y,n,s,c
p,s,p,s,c
e,y,n,s,c
e,y,n,s,c
e,v,n,s,c
e,v,n,s,c
e,v,n,s,c
e,y,n,s,c
e,s,n,s,w
e,v,n,s,c
e,s,n,s,w
e,y,n,s,c
e,v,n,s,c
e,v,n,s,c
e,v,n,s,c
e,v,n,s,c
e,y,n,s,c
e,v,n,s,c
e,y,n,s,c
e,v,n,s,c
e,v,n,s,c
e,y,n,s,c
e,v,n,s,c
e,y,n,s,c
e,v,n,s,c
e,y,n,s,c
e,v,n,s,c
e,y,n,s,c
e,v,n,s,c
